,State,County,City,Hospital,Location,Patient Rating,Completed Surveys,Survey Response Rate (%),Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
14,DE,SUSSEX,MILFORD,BAYHEALTH - MILFORD MEMORIAL HOSPITAL,"21 WEST CLARKE AVENUE
MILFORD, DE
(38.905855, -75.432714)",4,440,19,2578,220251,1170.48,749.47,0.09
15,DE,SUSSEX,LEWES,BEEBE MEDICAL CENTER,"424 SAVANNAH RD
LEWES, DE
(38.778791, -75.134407)",4,515,31,2578,220251,1170.48,749.47,0.09
16,FL,CHARLOTTE,PUNTA GORDA,BAYFRONT HEALTH PUNTA GORDA,"809 E MARION AVE
PUNTA GORDA, FL
(26.940682, -82.041788)",1,617,26,2564,178465,1436.7,619.28,0.09
17,FL,CHARLOTTE,PORT CHARLOTTE,BAYFRONT HEALTH PORT CHARLOTTE,"2500 HARBOR BLVD
PORT CHARLOTTE, FL
(26.98984, -82.096682)",1,996,24,2564,178465,1436.7,619.28,0.09
18,FL,CHARLOTTE,PORT CHARLOTTE,FAWCETT MEMORIAL HOSPITAL,"21298 OLEAN BLVD
PORT CHARLOTTE, FL
(26.987872, -82.097729)",2,1329,28,2564,178465,1436.7,619.28,0.09
19,MI,DELTA,ESCANABA,ST FRANCIS HOSPITAL,"3401 LUDINGTON ST
ESCANABA, MI
(45.74576, -87.094853)",4,397,31,468,36202,1292.75,765.28,0.02
20,MI,VAN BUREN,PAW PAW,BRONSON LAKEVIEW HOSPITAL,"408 HAZEN STREET
PAW PAW, MI
(42.221009, -85.898014)",4,130,30,779,75223,1035.59,840.79,0.03
21,MI,VAN BUREN,SOUTH HAVEN,BRONSON SOUTH HAVEN HOSPITAL,"955 S BAILEY AVE
SOUTH HAVEN, MI
(42.391252, -86.26413)",4,151,33,779,75223,1035.59,840.79,0.03
22,MI,EATON,CHARLOTTE,HAYES GREEN BEACH MEMORIAL HOSPITAL,"321 E HARRIS STREET
CHARLOTTE, MI
(42.564928, -84.831826)",4,189,36,984,109160,901.43,715.13,0.04
23,MI,EATON,EATON RAPIDS,EATON RAPIDS MEDICAL CENTER,"1500 S MAIN STREET
EATON RAPIDS, MI
(42.496021, -84.657539)",5,161,41,984,109160,901.43,715.13,0.04
24,MI,ALLEGAN,ALLEGAN,ALLEGAN GENERAL HOSPITAL,"555 LINN STREET
ALLEGAN, MI
(42.520259, -85.856939)",5,235,37,1025,115548,887.08,756.15,0.04
25,MI,GOGEBIC,IRONWOOD,ASPIRUS IRONWOOD HOSPITAL,"N10561 GRAND VIEW LANE
IRONWOOD, MI
(46.478193, -90.104689)",4,190,32,197,15243,1292.4,785.39,0.01
26,MI,SANILAC,MARLETTE,MARLETTE REGIONAL HOSPITAL,"2770 MAIN STREET
MARLETTE, MI
(43.332579, -83.08016)",4,119,38,527,41409,1272.67,890.09,0.02
27,MN,DAKOTA,NORTHFIELD,NORTHFIELD HOSPITAL,"2000 NORTH AVENUE
NORTHFIELD, MN
(44.471386, -93.191159)",4,550,39,2558,417486,612.72,590.84,0.09
28,MN,DAKOTA,HASTINGS,REGINA HOSPITAL,"1175 NININGER ROAD
HASTINGS, MN
(44.747131, -92.871399)",4,341,34,2558,417486,612.72,590.84,0.09
29,MN,DAKOTA,BURNSVILLE,FAIRVIEW RIDGES HOSPITAL,"201 EAST NICOLLET BOULEVARD
BURNSVILLE, MN
(44.749947, -93.274858)",4,548,32,2558,417486,612.72,590.84,0.09
30,MN,WINONA,WINONA,WINONA HEALTH SERVICES,"855 MANKATO AVENUE
WINONA, MN
(44.033016, -91.622136)",3,325,29,430,50948,844,666.94,0.02
31,MN,ISANTI,CAMBRIDGE,CAMBRIDGE MEDICAL CENTER,"701 SOUTH DELLWOOD AVENUE
CAMBRIDGE, MN
(45.56657, -93.229319)",4,463,31,334,39025,855.86,723.69,0.01
32,MN,CARVER,WACONIA,RIDGEVIEW MEDICAL CENTER,"500 SOUTH MAPLE STREET
WACONIA, MN
(44.843306, -93.790772)",4,410,47,495,100262,493.71,560.81,0.02
33,MN,FREEBORN,ALBERT LEA,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA AND AUSTIN,"404 WEST FOUNTAIN STREET
ALBERT LEA, MN
(43.651558, -93.372469)",4,417,29,366,30446,1202.13,723.21,0.01
34,MN,OTTER TAIL,FERGUS FALLS,LAKE REGION HEALTHCARE CORPORATION,"712 SOUTH CASCADE
FERGUS FALLS, MN
(46.277138, -96.072407)",4,479,34,672,58085,1156.93,656.24,0.02
35,MN,OTTER TAIL,PERHAM,PERHAM HEALTH,"1000 CONEY STREET WEST
PERHAM, MN
(46.592685, -95.595165)",4,203,33,672,58085,1156.93,656.24,0.02
36,MN,RAMSEY,SAINT PAUL,UNITED HOSPITAL,"333 NORTH SMITH AVENUE
SAINT PAUL, MN
(44.94185, -93.108302)",3,481,30,4108,540649,759.83,678.25,0.15
37,MN,RAMSEY,SAINT PAUL,ST JOSEPH'S HOSPITAL,"45 WEST 10TH STREET
SAINT PAUL, MN
(44.949062, -93.100127)",3,885,32,4108,540649,759.83,678.25,0.15
38,MN,RAMSEY,SAINT PAUL,REGIONS HOSPITAL,"640 JACKSON STREET
SAINT PAUL, MN
(44.955338, -93.096277)",3,615,26,4108,540649,759.83,678.25,0.15
39,MN,RAMSEY,MAPLEWOOD,HEALTHEAST ST JOHN'S HOSPITAL,"1575 BEAM AVENUE
MAPLEWOOD, MN
(45.028131, -93.033508)",3,934,26,4108,540649,759.83,678.25,0.15
40,MN,CHISAGO,WYOMING,FAIRVIEW LAKES MEDICAL CENTER,"5200 FAIRVIEW BOULEVARD
WYOMING, MN
(45.322267, -92.998466)",4,637,33,402,54748,734.27,636.09,0.01
41,MN,ITASCA,GRAND RAPIDS,GRAND ITASCA CLINIC AND HOSPITAL,"1601 GOLF COURSE ROAD
GRAND RAPIDS, MN
(47.221039, -93.554716)",4,314,27,500,45242,1105.17,691.57,0.02
42,MN,ITASCA,BIGFORK,BIGFORK VALLEY HOSPITAL,"258 PINE TREE DRIVE PO BOX 258
BIGFORK, MN
(47.746885, -93.646822)",5,102,55,500,45242,1105.17,691.57,0.02
43,MN,STEARNS,SAINT CLOUD,ST CLOUD HOSPITAL,"1406 6TH AVE NORTH
SAINT CLOUD, MN
(45.575325, -94.17045)",4,2259,35,1026,155652,659.16,588,0.04
44,MN,STEARNS,MELROSE,CENTRACARE HEALTH SYSTEM - MELROSE HOSPITAL,"525 WEST MAIN STREET
MELROSE, MN
(45.674916, -94.823435)",4,143,36,1026,155652,659.16,588,0.04
45,MN,STEARNS,PAYNESVILLE,CENTRA CARE HEALTH PAYNESVILLE,"200 1ST STREET WEST
PAYNESVILLE, MN
(45.374893, -94.716253)",4,130,34,1026,155652,659.16,588,0.04
46,MN,STEARNS,SAUK CENTRE,CENTRACARE HEALTH SYSTEM - SAUK CENTRE,"425 NORTH ELM STREET
SAUK CENTRE, MN
(45.74589, -94.954567)",4,149,39,1026,155652,659.16,588,0.04
47,MN,DOUGLAS,ALEXANDRIA,DOUGLAS COUNTY HOSPITAL,"111 17TH AVENUE EAST
ALEXANDRIA, MN
(45.872669, -95.37638)",4,511,44,441,37456,1177.38,696.32,0.02
48,MN,NOBLES,WORTHINGTON,SANFORD WORTHINGTON MEDICAL CENTER,"1018 SIXTH AVENUE PO BOX 997
WORTHINGTON, MN
(43.621858, -95.599179)",4,204,27,167,21848,764.37,572.17,0.01
49,MI,NEWAYGO,FREMONT,SPECTRUM HEALTH GERBER MEMORIAL,"212 S SULLIVAN ST
FREMONT, MI
(43.464383, -85.950763)",4,424,32,485,47938,1011.72,766.17,0.02
50,TX,WALKER,HUNTSVILLE,HUNTSVILLE MEMORIAL HOSPITAL,"110 MEMORIAL HOSPITAL DRIVE
HUNTSVILLE, TX
(30.69849, -95.55799)",2,373,17,537,71484,751.22,794.99,0.02
51,MN,BLUE EARTH,MANKATO,MAYO CLINIC HEALTH SYSTEM - MANKATO,"1025 MARSH STREET
MANKATO, MN
(44.165047, -93.983738)",3,391,29,527,66441,793.18,693.65,0.02
52,MN,MARTIN,FAIRMONT,MAYO CLINIC HEALTH SYSTEM - FAIRMONT,"800 MEDICAL CENTER DRIVE, PO BOX 800
FAIRMONT, MN
(43.637688, -94.451728)",3,297,30,246,19829,1240.61,652.34,0.01
53,MN,STEELE,OWATONNA,OWATONNA HOSPITAL,"2250 26TH STREET NORTHWEST
OWATONNA, MN
(44.109798, -93.236301)",4,585,36,296,36805,804.24,572.7,0.01
54,TX,ELLIS,WAXAHACHIE,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,"2400 N INTERSTATE HIGHWAY 35E
WAXAHACHIE, TX
(32.428937, -96.860265)",4,1043,19,1228,168499,728.79,782.95,0.04
55,TX,ELLIS,ENNIS,ENNIS REGIONAL MEDICAL CENTER,"2201 WEST LAMPASAS STREET
ENNIS, TX
(32.308542, -96.642024)",4,108,24,1228,168499,728.79,782.95,0.04
56,MN,RICE,FARIBAULT,DISTRICT ONE HOSPITAL,"200 STATE AVENUE
FARIBAULT, MN
(44.288715, -93.256022)",4,280,27,495,65622,754.32,639.08,0.02
57,MN,KANDIYOHI,WILLMAR,CARRIS HEALTH LLC,"301 BECKER AVE SW
WILLMAR, MN
(45.120514, -95.046366)",4,490,30,380,42495,894.22,618.44,0.01
58,MN,CROW WING,BRAINERD,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,"523 NORTH 3RD STREET
BRAINERD, MN
(46.362509, -94.205143)",4,768,34,707,63940,1105.72,709.25,0.03
59,MN,CROW WING,CROSBY,CUYUNA REGIONAL MEDICAL CENTER,"320 EAST MAIN STREET
CROSBY, MN
(46.482408, -93.94525)",4,368,39,707,63940,1105.72,709.25,0.03
60,MN,WRIGHT,BUFFALO,BUFFALO HOSPITAL,"303 CATLIN ST
BUFFALO, MN
(45.1932, -93.87053)",4,588,36,835,132550,629.95,673.46,0.03
61,MN,WRIGHT,MONTICELLO,CENTRACARE HEALTH - MONTICELLO,"1013 HART BOULEVARD
MONTICELLO, MN
(45.30017, -93.779107)",4,304,35,835,132550,629.95,673.46,0.03
62,MN,BELTRAMI,BEMIDJI,SANFORD BEMIDJI MEDICAL CENTER,"1300 ANNE ST NW
BEMIDJI, MN
(47.505009, -94.898125)",3,465,25,387,46106,839.37,736.42,0.01
63,MN,MCLEOD,HUTCHINSON,HUTCHINSON HEALTH,"1095 HIGHWAY 15 SOUTH
HUTCHINSON, MN
(44.875105, -94.375533)",4,373,37,359,35842,1001.62,661.09,0.01
64,MN,MCLEOD,GLENCOE,GLENCOE REGIONAL HEALTH SERVICES,"1805 HENNEPIN AVENUE NORTH
GLENCOE, MN
(44.77755, -94.151714)",4,217,38,359,35842,1001.62,661.09,0.01
65,MN,SHERBURNE,PRINCETON,FAIRVIEW NORTHLAND REGIONAL HOSPITAL,"911 NORTHLAND DR
PRINCETON, MN
(45.55888, -93.588931)",4,406,31,523,93528,559.19,664.28,0.02
66,MN,BECKER,DETROIT LAKES,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,"1027 WASHINGTON AVE
DETROIT LAKES, MN
(46.815307, -95.845453)",4,405,31,328,33734,972.31,698.47,0.01
67,MN,WASHINGTON,STILLWATER,LAKEVIEW MEMORIAL HOSPITAL,"927 WEST CHURCHILL STREET
STILLWATER, MN
(45.048126, -92.818489)",5,678,49,1611,253117,636.46,593.14,0.06
68,MN,WASHINGTON,WOODBURY,HEALTHEAST WOODWINDS HOSPITAL,"1925 WOODWINDS DRIVE
WOODBURY, MN
(44.92351, -92.975353)",4,1114,35,1611,253117,636.46,593.14,0.06
69,MN,SCOTT,SHAKOPEE,ST FRANCIS REGIONAL MEDICAL CENTER,"1455 ST FRANCIS AVENUE
SHAKOPEE, MN
(44.770075, -93.503569)",4,383,31,721,143680,501.81,620.83,0.03
70,MN,SCOTT,NEW PRAGUE,MAYO CLINIC HEALTH SYSTEM-NEW PRAGUE,"301 2ND STREET NORTHEAST
NEW PRAGUE, MN
(44.545926, -93.574903)",4,211,39,721,143680,501.81,620.83,0.03
71,MN,ANOKA,COON RAPIDS,MERCY HOSPITAL,"4050 COON RAPIDS BLVD
COON RAPIDS, MN
(45.183842, -93.368221)",3,621,32,2081,345957,601.52,615.14,0.08
72,MN,AITKIN,AITKIN,RIVERWOOD HEALTHCARE CENTER,"200 BUNKER HILL DRIVE
AITKIN, MN
(46.529202, -93.696808)",4,318,37,246,15583,1578.64,885.23,0.01
73,AL,MADISON,HUNTSVILLE,CRESTWOOD MEDICAL CENTER,"ONE HOSPITAL DR SE
HUNTSVILLE, AL
",3,804,31,3282,356967,919.41,834.15,0.12
74,AL,MADISON,HUNTSVILLE,HUNTSVILLE HOSPITAL,"101 SIVLEY RD
HUNTSVILLE, AL
(34.721226, -86.581547)",4,2222,23,3282,356967,919.41,834.15,0.12
75,MN,MURRAY,SLAYTON,MURRAY COUNTY MEMORIAL HOSPITAL,"2042 JUNIPER AVENUE
SLAYTON, MN
(43.992795, -95.759226)",5,113,55,89,8329,1068.56,539.43,0.0
76,MN,CHIPPEWA,MONTEVIDEO,CHIPPEWA COUNTY HOSPITAL,"824 NORTH 11TH STREET
MONTEVIDEO, MN
(44.953989, -95.713586)",3,154,36,156,12133,1285.75,721.04,0.01
77,MN,POLK,CROOKSTON,RIVERVIEW HOSPITAL,"323 SOUTH MINNESOTA
CROOKSTON, MN
(47.772083, -96.618106)",4,297,44,340,31660,1073.91,751.7,0.01
78,MN,NICOLLET,ST PETER,RIVER'S EDGE HOSPITAL & CLINIC,"1900 NORTH SUNRISE DRIVE
ST PETER, MN
(44.347846, -93.970875)",4,418,61,223,33575,664.18,543.33,0.01
79,TX,HENDERSON,ATHENS,EAST TEXAS MEDICAL CENTER ATHENS,"2000 SOUTH PALESTINE
ATHENS, TX
(32.171435, -95.844022)",3,640,18,1081,79901,1352.92,929.6,0.04
80,MN,TODD,STAPLES,LAKEWOOD HEALTH SYSTEM,"49725 COUNTY ROAD 83
STAPLES, MN
(46.350869, -94.748393)",4,239,25,224,24233,924.36,652.78,0.01
81,MN,TODD,LONG PRAIRIE,CENTRACARE HEALTH SYSTEM - LONG PRAIRIE,"50 CENTRACARE DRIVE
LONG PRAIRIE, MN
",4,102,29,224,24233,924.36,652.78,0.01
82,TX,GRAYSON,DENISON,TEXOMA MEDICAL CENTER,"5016 S US HIGHWAY 75
DENISON, TX
(33.711133, -96.586956)",3,1047,20,1357,128235,1058.21,846.95,0.05
83,TX,GRAYSON,SHERMAN,WILSON N JONES REGIONAL MEDICAL CENTER,"500 N HIGHLAND AVENUE
SHERMAN, TX
(33.637697, -96.62348)",2,684,20,1357,128235,1058.21,846.95,0.05
84,TX,GRAYSON,SHERMAN,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA,"3601 CALAIS DRIVE
SHERMAN, TX
(33.67686, -96.602527)",4,192,42,1357,128235,1058.21,846.95,0.05
85,MN,REDWOOD,REDWOOD FALLS,REDWOOD AREA HOSPITAL,"100 FALLWOOD ROAD
REDWOOD FALLS, MN
(44.53703, -95.107268)",5,127,42,203,15263,1330.01,742.92,0.01
86,VA,EMPORIA CITY,EMPORIA,SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER,"727 NORTH MAIN STREET
EMPORIA, VA
(36.701568, -77.535985)",3,180,25,52,5305,980.21,654.38,0.0
87,MN,YELLOW MEDICINE,GRANITE FALLS,MUNICIPAL HOSPITAL AND GRANITE MANOR,"345 TENTH AVENUE
GRANITE FALLS, MN
(44.808737, -95.542467)",3,100,37,120,9935,1207.85,711.27,0.0
88,MN,CARLTON,MOOSE LAKE,MERCY HOSPITAL,"4572 COUNTY ROAD 61
MOOSE LAKE, MN
(46.442545, -92.775725)",4,121,29,387,35738,1082.88,829.88,0.01
89,MN,CARLTON,CLOQUET,COMMUNITY MEMORIAL HOSPITAL,"512 SKYLINE BOULEVARD
CLOQUET, MN
(46.731844, -92.462459)",4,240,37,387,35738,1082.88,829.88,0.01
90,MN,ROSEAU,ROSEAU,LIFECARE MEDICAL CENTER,"715 DELMORE DRIVE
ROSEAU, MN
(48.839822, -95.759947)",4,170,37,136,15626,870.34,674.78,0.0
91,MN,KANABEC,MORA,FIRSTLIGHT HEALTH SYSTEM,"301 SOUTH HIGHWAY 65
MORA, MN
(45.87339, -93.289955)",4,247,30,170,15830,1073.91,807.44,0.01
92,MN,STEVENS,MORRIS,STEVENS COMMUNITY MEDICAL CENTER,"400 EAST FIRST STREET, PO BOX 660
MORRIS, MN
(45.585436, -95.905063)",4,284,49,79,9693,815.02,515.91,0.0
93,MN,LYON,MARSHALL,AVERA MARSHALL REGIONAL MEDICAL CTR,"300 SOUTH BRUCE STREET
MARSHALL, MN
(44.447634, -95.776185)",3,280,25,232,25699,902.76,676.16,0.01
94,AZ,APACHE,FORT DEFIANCE,FORT DEFIANCE INDIAN HOSPITAL,"PO BOX 649
FORT DEFIANCE, AZ
",2,109,9,681,73112,931.45,931.91,0.02
95,AZ,APACHE,CHINLE,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD
CHINLE, AZ
",3,387,41,681,73112,931.45,931.91,0.02
96,AZ,COCONINO,TUBA CITY,TUBA CITY REGIONAL HEALTH CARE CORPORATION,"PO BOX 600
TUBA CITY, AZ
",3,593,41,852,140908,604.65,682.37,0.03
97,AZ,COCONINO,FLAGSTAFF,FLAGSTAFF MEDICAL CENTER,"1200 NORTH BEAVER STREET
FLAGSTAFF, AZ
(35.209534, -111.644835)",3,1179,25,852,140908,604.65,682.37,0.03
98,AZ,COCONINO,PAGE,PAGE HOSPITAL,"501 NORTH NAVAJO DRIVE
PAGE, AZ
(36.91696, -111.463186)",3,124,39,852,140908,604.65,682.37,0.03
99,MN,MEEKER,LITCHFIELD,MEEKER MEMORIAL HOSPITAL,"612 SOUTH SIBLEY AVENUE
LITCHFIELD, MN
(45.120003, -94.528031)",4,187,36,218,23110,943.31,647.05,0.01
100,MN,WADENA,WADENA,TRI COUNTY HOSPITAL,"415 JEFFERSON STREET NORTH
WADENA, MN
(46.446565, -95.132748)",4,167,31,208,13761,1511.52,924.97,0.01
101,AZ,MARICOPA,MESA,ARIZONA SPINE AND JOINT HOSPITAL,"4620 EAST BASELINE ROAD
MESA, AZ
(33.379206, -111.734695)",5,595,57,30748,4242997,724.68,657.39,1.12
102,AZ,MARICOPA,PHOENIX,ABRAZO CENTRAL CAMPUS,"2000 WEST BETHANY HOME ROAD
PHOENIX, AZ
(33.524116, -112.101934)",2,774,23,30748,4242997,724.68,657.39,1.12
103,AZ,MARICOPA,PHOENIX,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,"350 WEST THOMAS ROAD
PHOENIX, AZ
(33.480294, -112.079208)",3,3371,16,30748,4242997,724.68,657.39,1.12
104,AZ,MARICOPA,PHOENIX,ABRAZO MARYVALE CAMPUS,"5102 WEST CAMPBELL AVENUE
PHOENIX, AZ
(33.502148, -112.170002)",2,410,24,30748,4242997,724.68,657.39,1.12
105,AZ,MARICOPA,PHOENIX,MARICOPA MEDICAL CENTER,"2601 EAST ROOSEVELT STREET
PHOENIX, AZ
(33.458525, -112.02643)",2,618,8,30748,4242997,724.68,657.39,1.12
106,AZ,MARICOPA,PHOENIX,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,"1111 EAST MCDOWELL ROAD
PHOENIX, AZ
(33.465724, -112.058127)",3,2010,30,30748,4242997,724.68,657.39,1.12
107,AZ,MARICOPA,PHOENIX,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,"250 EAST DUNLAP AVENUE
PHOENIX, AZ
(33.567754, -112.07063)",2,1055,25,30748,4242997,724.68,657.39,1.12
108,AZ,MARICOPA,PHOENIX,ST LUKE'S MEDICAL CENTER,"1800 EAST VAN BUREN STREET
PHOENIX, AZ
(33.451436, -112.042767)",2,1303,25,30748,4242997,724.68,657.39,1.12
109,AZ,MARICOPA,SUN CITY,BANNER BOSWELL MEDICAL CENTER,"10401 WEST THUNDERBIRD BOULEVARD
SUN CITY, AZ
(33.604798, -112.282538)",3,1003,36,30748,4242997,724.68,657.39,1.12
110,AZ,MARICOPA,PHOENIX,PHOENIX INDIAN MEDICAL CENTER,"4212 NORTH 16TH STREET
PHOENIX, AZ
(33.49701, -112.047613)",4,431,22,30748,4242997,724.68,657.39,1.12
111,AZ,MARICOPA,MESA,BANNER DESERT MEDICAL CENTER,"1400 SOUTH DOBSON ROAD
MESA, AZ
(33.39091, -111.874624)",3,2239,31,30748,4242997,724.68,657.39,1.12
112,AZ,MARICOPA,SCOTTSDALE,SCOTTSDALE OSBORN MEDICAL CENTER,"7400 EAST OSBORN ROAD
SCOTTSDALE, AZ
(33.487639, -111.922725)",2,1604,23,30748,4242997,724.68,657.39,1.12
113,AZ,MARICOPA,CHANDLER,CHANDLER REGIONAL MEDICAL CENTER,"1955 WEST FRYE ROAD
CHANDLER, AZ
(33.29861, -111.876053)",3,3529,20,30748,4242997,724.68,657.39,1.12
114,AZ,MARICOPA,PHOENIX,ABRAZO SCOTTSDALE CAMPUS,"3929 EAST BELL ROAD
PHOENIX, AZ
(33.640603, -111.997692)",2,681,22,30748,4242997,724.68,657.39,1.12
115,AZ,MARICOPA,SCOTTSDALE,SCOTTSDALE SHEA MEDICAL CENTER,"9003 EAST SHEA BOULEVARD
SCOTTSDALE, AZ
(33.582467, -111.886032)",3,2059,23,30748,4242997,724.68,657.39,1.12
116,AZ,MARICOPA,PHOENIX,BANNER ESTRELLA MEDICAL CENTER,"9201 WEST THOMAS ROAD
PHOENIX, AZ
(33.479558, -112.257936)",4,2788,30,30748,4242997,724.68,657.39,1.12
117,AZ,MARICOPA,PHOENIX,"CORE INSTITUTE SPECIALTY HOSPITAL, THE","6501 NORTH 19TH AVENUE
PHOENIX, AZ
(33.531837, -112.099614)",4,545,49,30748,4242997,724.68,657.39,1.12
118,AZ,MARICOPA,MESA,BANNER HEART HOSPITAL,"6750 EAST BAYWOOD AVENUE
MESA, AZ
(33.410379, -111.685302)",3,676,40,30748,4242997,724.68,657.39,1.12
119,AZ,MARICOPA,PHOENIX,MAYO CLINIC HOSPITAL,"5777 EAST MAYO BOULEVARD
PHOENIX, AZ
(33.663312, -111.955659)",5,419,33,30748,4242997,724.68,657.39,1.12
120,AZ,MARICOPA,GOODYEAR,ABRAZO WEST CAMPUS,"13677 WEST MCDOWELL ROAD
GOODYEAR, AZ
(33.464283, -112.354024)",2,938,25,30748,4242997,724.68,657.39,1.12
121,AZ,MARICOPA,MESA,BANNER BAYWOOD MEDICAL CENTER,"6644 EAST BAYWOOD AVENUE
MESA, AZ
(33.410465, -111.688085)",3,2665,35,30748,4242997,724.68,657.39,1.12
122,AZ,MARICOPA,SUN CITY WEST,BANNER DEL E. WEBB MEDICAL CENTER,"14502 WEST MEEKER BOULEVARD
SUN CITY WEST, AZ
(33.658307, -112.371939)",3,1252,32,30748,4242997,724.68,657.39,1.12
123,AZ,MARICOPA,CHANDLER,ARIZONA SPECIALTY HOSPITAL,"2905 WEST WARNER ROAD, SUITE 1
CHANDLER, AZ
(33.33484, -111.891133)",5,385,45,30748,4242997,724.68,657.39,1.12
124,AZ,MARICOPA,GLENDALE,ABRAZO ARROWHEAD CAMPUS,"18701 NORTH 67TH AVENUE
GLENDALE, AZ
(33.655042, -112.202889)",3,1055,28,30748,4242997,724.68,657.39,1.12
125,AZ,MARICOPA,PHOENIX,HONORHEALTH DEER VALLEY MEDICAL CENTER,"19829 NORTH 27TH AVENUE
PHOENIX, AZ
(33.666425, -112.117188)",2,1077,24,30748,4242997,724.68,657.39,1.12
126,AZ,MARICOPA,GLENDALE,BANNER THUNDERBIRD MEDICAL CENTER,"5555 WEST THUNDERBIRD ROAD
GLENDALE, AZ
(33.610731, -112.178698)",3,1972,30,30748,4242997,724.68,657.39,1.12
127,AZ,MARICOPA,WICKENBURG,WICKENBURG COMMUNITY HOSPITAL,"520 ROSE LANE
WICKENBURG, AZ
(33.978056, -112.738825)",4,173,30,30748,4242997,724.68,657.39,1.12
128,AZ,MARICOPA,GILBERT,BANNER GATEWAY MEDICAL CENTER,"1900 NORTH HIGLEY ROAD
GILBERT, AZ
(33.384225, -111.719634)",4,1100,33,30748,4242997,724.68,657.39,1.12
129,AZ,MARICOPA,GILBERT,MERCY GILBERT MEDICAL CENTER,"3555 SOUTH VAL VISTA DRIVE
GILBERT, AZ
(33.286661, -111.755311)",3,2142,19,30748,4242997,724.68,657.39,1.12
